R,F,M,C,L
-0.97795594,7.17868,9.635432,0.3161487,1.092019
-0.9596367,6.8954196,9.284068,0.32989827,1.1122432
-0.56577176,0.55039054,9.200299,-0.62402034,0.47405732
-0.99627525,5.932335,5.6104336,1.1667665,1.2234763
-0.71232617,0.49373853,7.5568275,-1.0012937,0.6392216
-0.97795594,4.96925,5.3536625,1.097719,-0.30345076
-1.0008551,2.8731246,5.252371,1.1854867,1.4504367
-0.99169546,5.25251,5.1732206,0.9980163,0.49989936
-0.6711077,0.38043442,7.12173,-1.1246356,-0.19895907
-0.99627525,11.31428,5.9066925,-0.30090523,1.1122432
-0.9596367,3.439645,4.5235176,1.3704871,1.9515474
-0.9275779,4.96925,4.8917346,0.81612456,1.5504341
-0.9596367,4.176121,4.5435786,1.3201151,0.5493363
-1.0008551,2.249952,4.3610215,1.5793163,1.4448189
-0.97337615,4.629338,4.5364923,1.2629315,2.0088494
-0.99627525,4.629338,4.5073705,1.1682717,1.4695374
-0.8543007,0.6070426,5.9735384,-0.6452729,1.918964
-0.4375367,2.3066041,4.2529964,1.5378566,1.4583017
-0.8543007,3.836209,4.246192,1.3461161,0.26170325
-1.0008551,4.799294,4.1424327,1.5171045,1.429089
-0.99627525,4.629338,4.245628,1.1586332,1.143703
-0.8359814,2.3066041,4.951529,0.061196815,1.9987372
-0.9092586,0.4370865,5.821231,-0.9813601,-0.47086218
-1.0054349,5.4791183,5.895093,-1.0601468,-1.1225308
-0.97795594,6.8387675,4.2298684,0.9202681,1.3369565
-1.0008551,5.309162,4.0696282,1.170323,1.9391882
-0.99169546,4.176121,3.9452443,1.3228079,-0.91242385
-1.0054349,1.9666917,3.8695138,1.22393,0.7616904
-1.0054349,3.0997326,4.0542216,0.88137907,0.9380903
-0.9092586,3.1563847,3.9232795,0.91380566,0.77742034
-0.9413174,2.363256,4.706251,-0.30296633,1.9717716
-0.9413174,3.0997326,3.770796,1.0621108,1.9144697
-1.0054349,3.609601,4.080558,0.5240692,2.0155907
-0.97337615,0.94695497,5.0635033,-0.81976086,-0.24951957
-0.9229981,4.062817,3.5508676,1.3282193,1.7155985
-0.9229981,1.1735631,5.2792716,-1.0735896,-0.29783294
-0.9229981,2.8731246,4.133971,0.22263844,-0.0012113452
-0.950477,2.7031684,4.3296437,-0.081894726,0.78640884
-0.9275779,0.15382625,5.0349455,-1.0395218,-0.67310417
-0.97337615,5.025902,4.2250733,-0.108646855,-0.41917813
-0.9825358,3.836209,4.896177,-0.95177555,1.6380724
