R,F,M,C,L,prediction
7.0,140.0,293678.0,1.2523144,2597.0,2
11.0,135.0,283712.0,1.2546755,2615.0,2
97.0,23.0,281336.0,1.0908695,2047.0,2
3.0,118.0,179514.0,1.3983817,2714.0,2
65.0,22.0,234721.0,1.0260845,2194.0,2
7.0,101.0,172231.0,1.3865249,1355.0,2
2.0,64.0,169358.0,1.4015963,2916.0,2
4.0,106.0,167113.0,1.3694041,2070.0,2
74.0,20.0,222380.0,1.0049044,1448.0,2
3.0,213.0,187917.0,1.1463546,2615.0,2
11.0,74.0,148685.0,1.4333644,3362.0,2
18.0,101.0,159129.0,1.3381698,3005.0,2
11.0,87.0,149254.0,1.4247146,2114.0,2
2.0,53.0,144076.0,1.4692243,2911.0,2
8.0,95.0,149053.0,1.414895,3413.0,2
3.0,95.0,148227.0,1.3986402,2933.0,2
34.0,24.0,189813.0,1.0872201,3333.0,2
125.0,54.0,141012.0,1.4621049,2923.0,2
34.0,81.0,140819.0,1.4291794,1858.0,2
2.0,98.0,137876.0,1.4585414,2897.0,2
3.0,95.0,140803.0,1.396985,2643.0,2
38.0,54.0,160825.0,1.2085344,3404.0,2
22.0,21.0,185493.0,1.0295075,1206.0,2
1.0,110.0,187588.0,1.0159783,626.0,2
7.0,134.0,140356.0,1.3560532,2815.0,2
2.0,107.0,135811.0,1.3989924,3351.0,2
4.0,87.0,132283.0,1.425177,813.0,2
1.0,48.0,130135.0,1.4081978,2303.0,2
1.0,68.0,135374.0,1.3493752,2460.0,2
22.0,69.0,131660.0,1.3549435,2317.0,2
15.0,55.0,153868.0,1.1460006,3380.0,2
15.0,68.0,127335.0,1.3804103,3329.0,2
1.0,77.0,136121.0,1.2880183,3419.0,2
8.0,30.0,164001.0,1.0572572,1403.0,2
19.0,85.0,121097.0,1.4261062,3152.0,2
19.0,34.0,170121.0,1.01367,1360.0,2
19.0,64.0,137636.0,1.236257,1624.0,2
13.0,61.0,143186.0,1.1839628,2325.0,2
18.0,16.0,163191.0,1.01952,1026.0,2
8.0,102.0,140220.0,1.179369,1252.0,2
6.0,81.0,159255.0,1.0345877,3083.0,2
2.0,56.0,116728.0,1.3948638,2019.0,2
9.0,97.0,155881.0,1.0366671,3329.0,2
7.0,64.0,115300.0,1.3912992,2884.0,2
13.0,51.0,137500.0,1.1658359,1367.0,2
144.0,29.0,157056.0,1.0178591,2468.0,2
1.0,69.0,114077.0,1.3874903,2369.0,2
15.0,88.0,122619.0,1.281482,2117.0,2
10.0,129.0,109813.0,1.4291385,2621.0,2
14.0,67.0,123464.0,1.2653222,2680.0,2
53.0,12.0,146784.0,1.0591667,1448.0,2
11.0,69.0,118726.0,1.2970504,3111.0,2
34.0,17.0,125349.0,1.2265053,1082.0,2
9.0,12.0,146784.0,1.0466666,3427.0,2
4.0,54.0,144562.0,1.0539104,703.0,2
21.0,79.0,123985.0,1.2284454,2072.0,2
5.0,87.0,105119.0,1.4454898,2030.0,2
17.0,53.0,144682.0,1.0462155,702.0,2
17.0,92.0,134823.0,1.118316,2644.0,2
11.0,48.0,150537.0,1.0011445,1405.0,2
3.0,90.0,108184.0,1.3909456,3082.0,2
9.0,56.0,104663.0,1.4352742,1898.0,2
29.0,53.0,102999.0,1.4341145,2680.0,2
22.0,71.0,119961.0,1.225504,3414.0,2
11.0,83.0,103087.0,1.4115934,3167.0,2
11.0,52.0,99524.0,1.4580008,2131.0,2
10.0,65.0,119794.0,1.2108761,3014.0,2
24.0,65.0,109089.0,1.3189437,868.0,2
4.0,66.0,102689.0,1.3972205,2488.0,2
2.0,52.0,105167.0,1.3569868,2905.0,2
8.0,57.0,98104.0,1.4249725,2110.0,2
7.0,85.0,97855.0,1.4234532,2190.0,2
4.0,64.0,97250.0,1.4266562,3412.0,2
1.0,31.0,95766.0,1.4386001,1677.0,2
5.0,79.0,129119.0,1.0656111,3057.0,2
1.0,45.0,116917.0,1.1541559,2907.0,2
15.0,80.0,105118.0,1.2779425,1555.0,2
6.0,82.0,106666.0,1.2559205,2653.0,2
9.0,39.0,97116.0,1.3747245,2754.0,2
11.0,102.0,102961.0,1.2957488,2156.0,2
23.0,77.0,94142.0,1.4147136,2609.0,2
15.0,58.0,91515.0,1.4486421,1167.0,2
121.0,14.0,125796.0,1.0403943,1097.0,2
49.0,76.0,94185.0,1.3801774,930.0,2
3.0,55.0,94577.0,1.3695238,2606.0,2
4.0,80.0,92022.0,1.4071862,922.0,2
23.0,14.0,126850.0,1.0164633,380.0,2
30.0,24.0,125340.0,1.0262387,1130.0,2
18.0,13.0,126495.0,1.0145459,1054.0,2
3.0,68.0,117537.0,1.0858171,3316.0,2
2.0,123.0,89350.0,1.4190998,721.0,2
17.0,47.0,91018.0,1.3898673,2553.0,2
95.0,14.0,123662.0,1.0226107,1331.0,2
107.0,49.0,90602.0,1.3949362,2841.0,2
11.0,60.0,106278.0,1.1826818,2233.0,2
2.0,67.0,119347.0,1.0466763,3298.0,2
1.0,51.0,99034.0,1.2599502,1507.0,2
69.0,74.0,96520.0,1.2898275,1414.0,2
27.0,12.0,121632.0,1.0233333,1290.0,2
6.0,59.0,85171.0,1.4612635,1611.0,2
3.0,60.0,88428.0,1.400603,2036.0,2
1.0,57.0,90553.0,1.3667443,2856.0,2
16.0,58.0,94554.0,1.2990972,3260.0,2
6.0,72.0,91164.0,1.3433113,3228.0,2
10.0,113.0,121394.0,1.0085541,1599.0,2
10.0,57.0,91658.0,1.3324512,1934.0,2
13.0,16.0,115401.0,1.0572351,817.0,2
3.0,88.0,117157.0,1.0395341,3357.0,2
3.0,124.0,113615.0,1.0701948,3237.0,2
1.0,66.0,86430.0,1.4063504,2225.0,2
4.0,59.0,94946.0,1.2730627,1703.0,2
114.0,49.0,88903.0,1.3509115,3384.0,2
2.0,58.0,84353.0,1.4233123,2387.0,2
21.0,52.0,83356.0,1.4334682,1854.0,2
178.0,11.0,112128.0,1.0650353,3270.0,2
13.0,59.0,92635.0,1.2839906,1433.0,2
26.0,83.0,94441.0,1.2547286,2996.0,2
7.0,76.0,86061.0,1.3679773,2925.0,2
1.0,100.0,91727.0,1.2823472,2452.0,2
290.0,25.0,109336.0,1.0746832,2979.0,2
9.0,57.0,84080.0,1.3949203,1482.0,2
99.0,11.0,111496.0,1.05,530.0,4
30.0,43.0,94144.0,1.2405512,2911.0,2
32.0,53.0,85000.0,1.373478,2479.0,2
4.0,56.0,82981.0,1.4037684,3125.0,2
5.0,60.0,98083.0,1.1750076,2951.0,2
9.0,43.0,93447.0,1.2314696,2041.0,2
4.0,43.0,111807.0,1.0207652,1258.0,2
3.0,94.0,109142.0,1.0409337,3058.0,2
9.0,16.0,107047.0,1.0514016,619.0,2
22.0,42.0,77936.0,1.4360422,2920.0,2
6.0,19.0,96503.0,1.1560853,980.0,2
1.0,61.0,83245.0,1.3372767,1034.0,2
1.0,17.0,105377.0,1.0563961,1570.0,2
22.0,26.0,94249.0,1.1784567,2726.0,2
31.0,43.0,79426.0,1.3955871,2942.0,2
20.0,54.0,75651.0,1.4629179,1501.0,2
38.0,49.0,80641.0,1.3682818,2484.0,2
2.0,52.0,97731.0,1.1203377,2057.0,2
8.0,43.0,78765.0,1.388143,1237.0,2
59.0,32.0,77106.0,1.4161599,1494.0,2
2.0,73.0,75413.0,1.4347562,1896.0,2
22.0,57.0,90144.0,1.1875376,575.0,2
7.0,50.0,89115.0,1.2010314,1577.0,2
18.0,46.0,80830.0,1.3237417,1567.0,2
16.0,77.0,80208.0,1.3258336,2949.0,2
13.0,28.0,77108.0,1.3789923,1257.0,2
34.0,53.0,73717.0,1.4407176,1431.0,2
4.0,37.0,72741.0,1.4590118,925.0,2
10.0,48.0,74411.0,1.4236073,2475.0,2
5.0,52.0,73647.0,1.4306748,1342.0,2
13.0,47.0,76753.0,1.3707826,2142.0,2
7.0,59.0,97219.0,1.0753263,2919.0,2
27.0,49.0,78417.0,1.327685,2049.0,2
19.0,47.0,71121.0,1.4618264,2427.0,2
1.0,46.0,71012.0,1.4620239,2700.0,2
13.0,28.0,72232.0,1.4345136,1276.0,2
351.0,12.0,100421.0,1.0296448,1375.0,4
8.0,65.0,93221.0,1.1075239,2808.0,2
1.0,46.0,73338.0,1.3989986,3130.0,2
84.0,28.0,82659.0,1.2388785,872.0,2
68.0,28.0,73852.0,1.3861766,805.0,2
1.0,51.0,72274.0,1.4161358,2874.0,2
83.0,10.0,99312.0,1.025895,1734.0,2
1.0,34.0,70486.0,1.4433162,2751.0,2
2.0,23.0,74910.0,1.3577421,2810.0,2
25.0,47.0,82382.0,1.2309134,2908.0,2
1.0,84.0,75766.0,1.3371462,2982.0,2
1.0,98.0,76759.0,1.3033094,807.0,2
17.0,61.0,81113.0,1.230116,3261.0,2
13.0,85.0,70965.0,1.401902,1351.0,2
10.0,48.0,68459.0,1.4531572,2511.0,2
12.0,57.0,84129.0,1.179321,2873.0,2
5.0,71.0,70069.0,1.4137379,2343.0,2
18.0,86.0,89195.0,1.1081952,2327.0,2
22.0,39.0,70792.0,1.3874499,3338.0,2
41.0,46.0,71622.0,1.3651955,3302.0,2
10.0,45.0,68136.0,1.4329418,1670.0,2
4.0,36.0,66829.0,1.4604937,2463.0,2
19.0,64.0,66612.0,1.4643817,1386.0,2
20.0,79.0,74503.0,1.3054875,3320.0,2
85.0,42.0,74368.0,1.3036953,1087.0,2
1.0,62.0,76356.0,1.265361,435.0,2
5.0,46.0,67761.0,1.4258418,2326.0,2
16.0,38.0,66550.0,1.4505184,1033.0,2
2.0,89.0,78410.0,1.221743,1237.0,2
26.0,39.0,70142.0,1.3639718,2540.0,2
17.0,44.0,65769.0,1.4527906,1549.0,2
32.0,31.0,69453.0,1.3753948,1678.0,2
20.0,54.0,71496.0,1.335265,1460.0,2
18.0,73.0,76834.0,1.242033,3114.0,2
5.0,45.0,67936.0,1.4012784,2272.0,2
14.0,97.0,66431.0,1.4327862,1992.0,2
29.0,38.0,67361.0,1.4087199,968.0,2
7.0,33.0,65345.0,1.4518301,2428.0,2
6.0,39.0,68043.0,1.3936038,1969.0,2
8.0,72.0,73670.0,1.286411,1288.0,2
4.0,54.0,64453.0,1.4639621,1849.0,2
21.0,36.0,72186.0,1.3025304,1884.0,2
20.0,61.0,71752.0,1.3061069,955.0,2
32.0,49.0,65717.0,1.4259739,2698.0,2
3.0,46.0,71260.0,1.3145344,2114.0,2
73.0,52.0,76072.0,1.2286962,2479.0,2
9.0,36.0,68799.0,1.3580409,562.0,2
12.0,37.0,66530.0,1.402335,1715.0,2
14.0,100.0,64900.0,1.4373,3071.0,2
7.0,51.0,87589.0,1.0640908,2387.0,2
25.0,65.0,74458.0,1.2469131,1130.0,2
5.0,45.0,74389.0,1.2474102,712.0,2
17.0,66.0,82682.0,1.116894,1261.0,2
1.0,33.0,63453.0,1.4471139,2465.0,2
8.0,27.0,90731.0,1.0102419,827.0,2
65.0,19.0,86805.0,1.0537283,1562.0,2
4.0,83.0,66764.0,1.365493,737.0,2
29.0,44.0,69154.0,1.3118395,1665.0,2
5.0,49.0,62116.0,1.4547204,1238.0,2
14.0,39.0,63230.0,1.4274219,3386.0,2
8.0,43.0,69158.0,1.2996866,2930.0,2
2.0,59.0,78595.0,1.142706,1491.0,2
1.0,51.0,71594.0,1.2513714,1068.0,2
65.0,15.0,84976.0,1.0531993,2465.0,1
13.0,63.0,84110.0,1.0629717,3228.0,2
3.0,48.0,63061.0,1.40447,1320.0,2
3.0,52.0,62006.0,1.4279727,1076.0,2
9.0,11.0,80261.0,1.099678,1668.0,4
6.0,47.0,68720.0,1.2806163,2685.0,2
113.0,31.0,59830.0,1.4637555,2866.0,1
8.0,34.0,87326.0,1.0018575,674.0,2
7.0,7.0,85624.0,1.0214286,612.0,4
9.0,43.0,71368.0,1.2245967,628.0,2
11.0,36.0,63184.0,1.3806192,1619.0,2
2.0,40.0,60149.0,1.4430295,2355.0,2
9.0,35.0,62808.0,1.3732549,1594.0,2
29.0,34.0,65969.0,1.3071163,839.0,2
11.0,43.0,70258.0,1.2256451,1321.0,2
230.0,12.0,84488.0,1.013213,706.0,4
4.0,38.0,63749.0,1.335886,680.0,2
79.0,33.0,60566.0,1.4001799,2197.0,2
9.0,49.0,82626.0,1.019422,3258.0,2
102.0,6.0,73392.0,1.1416667,2555.0,1
2.0,40.0,63801.0,1.3113564,1369.0,2
43.0,38.0,78846.0,1.0569824,2833.0,2
163.0,37.0,58302.0,1.4281553,2556.0,2
2.0,44.0,67601.0,1.2306812,1904.0,2
14.0,51.0,61100.0,1.3578359,808.0,2
76.0,25.0,58213.0,1.4139547,668.0,3
26.0,51.0,57992.0,1.4184129,3074.0,2
19.0,54.0,77707.0,1.0578237,760.0,2
7.0,72.0,65267.0,1.2580242,739.0,2
27.0,31.0,60318.0,1.3591226,1412.0,2
88.0,14.0,79047.0,1.0355213,1189.0,4
8.0,39.0,60512.0,1.3509104,2701.0,2
61.0,36.0,75213.0,1.0866635,1091.0,2
195.0,20.0,77590.0,1.0523168,591.0,4
15.0,56.0,57828.0,1.4026786,2902.0,2
18.0,26.0,70104.0,1.1564313,2693.0,1
4.0,38.0,58995.0,1.3709457,2509.0,2
9.0,67.0,64594.0,1.2483455,583.0,2
3.0,44.0,56219.0,1.4340239,2088.0,2
8.0,34.0,58541.0,1.3754567,1346.0,2
27.0,43.0,60630.0,1.3225508,1393.0,2
26.0,35.0,57698.0,1.3868111,2164.0,2
6.0,54.0,64470.0,1.2387031,916.0,2
3.0,39.0,64329.0,1.2386334,3008.0,2
67.0,50.0,64381.0,1.2370465,762.0,2
83.0,27.0,55673.0,1.4292669,1046.0,3
9.0,40.0,77198.0,1.0306122,3345.0,2
41.0,47.0,57158.0,1.3911718,2478.0,2
13.0,32.0,60308.0,1.3146625,1569.0,2
75.0,37.0,77098.0,1.0253527,428.0,2
2.0,38.0,62200.0,1.2694931,2572.0,2
38.0,25.0,63767.0,1.2382456,2969.0,1
70.0,50.0,58964.0,1.3389834,1823.0,2
3.0,93.0,67658.0,1.1630145,2209.0,2
60.0,45.0,57094.0,1.3739172,3114.0,2
10.0,27.0,53927.0,1.453639,2133.0,1
62.0,13.0,74307.0,1.054007,1301.0,4
3.0,34.0,54155.0,1.4419513,3133.0,1
1.0,106.0,73656.0,1.0597972,3122.0,2
5.0,69.0,59262.0,1.3158505,1124.0,2
9.0,31.0,54938.0,1.4187106,724.0,3
13.0,53.0,59280.0,1.3048347,890.0,2
2.0,61.0,71334.0,1.081109,1325.0,2
67.0,9.0,75093.0,1.0263113,544.0,4
33.0,43.0,63261.0,1.218128,1455.0,2
27.0,31.0,57054.0,1.3487675,1319.0,2
4.0,39.0,53274.0,1.4413905,1697.0,2
2.0,33.0,60387.0,1.2704349,1574.0,2
1.0,34.0,52371.0,1.4624712,1978.0,2
34.0,47.0,57546.0,1.3295591,1492.0,2
113.0,30.0,55190.0,1.3828049,2185.0,1
123.0,21.0,54220.0,1.4073333,1261.0,3
376.0,18.0,70739.0,1.0776644,1406.0,4
22.0,41.0,56029.0,1.3586755,2925.0,2
20.0,56.0,65103.0,1.1671423,972.0,2
24.0,42.0,53030.0,1.431652,2255.0,2
12.0,30.0,55918.0,1.3558617,3345.0,1
39.0,6.0,73392.0,1.03,1896.0,4
235.0,6.0,73392.0,1.03,731.0,4
72.0,38.0,57596.0,1.3096727,1359.0,2
11.0,38.0,55596.0,1.3519542,393.0,2
8.0,31.0,55642.0,1.3507072,1399.0,2
109.0,34.0,66320.0,1.1327593,1960.0,2
10.0,45.0,72849.0,1.0289865,3125.0,2
56.0,39.0,57001.0,1.3114574,1186.0,2
60.0,31.0,52216.0,1.4311883,2925.0,1
14.0,22.0,54730.0,1.3615123,949.0,3
3.0,72.0,60674.0,1.2247165,2792.0,2
2.0,61.0,57474.0,1.2885597,1504.0,2
85.0,58.0,51359.0,1.4410349,1474.0,2
11.0,52.0,54902.0,1.3461425,2084.0,2
2.0,32.0,68796.0,1.0719438,506.0,4
26.0,55.0,53082.0,1.3851367,1913.0,2
4.0,44.0,69243.0,1.0489492,2118.0,2
29.0,38.0,57045.0,1.2653776,2946.0,2
8.0,35.0,71526.0,1.0089236,1232.0,2
2.0,25.0,60909.0,1.1817652,2820.0,1
5.0,68.0,49054.0,1.464809,1156.0,2
67.0,26.0,50464.0,1.4205866,2530.0,1
9.0,28.0,48681.0,1.4704897,2325.0,1
6.0,47.0,69445.0,1.0275776,3251.0,2
5.0,52.0,50564.0,1.4108425,1884.0,2
12.0,47.0,55930.0,1.2752126,2487.0,2
39.0,50.0,66551.0,1.0701302,3338.0,2
2.0,60.0,59525.0,1.1952796,1957.0,2
5.0,40.0,56236.0,1.2641613,1560.0,2
2.0,46.0,51348.0,1.3843005,2134.0,2
148.0,28.0,48738.0,1.4574902,2411.0,1
14.0,39.0,57173.0,1.2412113,488.0,2
72.0,17.0,60715.0,1.1668528,1630.0,4
21.0,44.0,51657.0,1.3692287,2195.0,2
16.0,53.0,58456.0,1.1967307,2848.0,2
117.0,31.0,48504.0,1.4390483,976.0,3
38.0,19.0,67361.0,1.0297544,2392.0,1
22.0,51.0,49694.0,1.3955624,1581.0,2
87.0,9.0,64966.0,1.0663279,3197.0,1
32.0,27.0,49859.0,1.3885844,2868.0,1
17.0,21.0,58554.0,1.1791369,1230.0,4
25.0,43.0,56979.0,1.2082021,2217.0,2
5.0,37.0,49165.0,1.3865882,793.0,2
2.0,45.0,64879.0,1.0506573,2407.0,2
28.0,24.0,58285.0,1.1662755,2594.0,1
18.0,38.0,47103.0,1.4430962,3059.0,1
112.0,23.0,47595.0,1.416269,2091.0,1
6.0,58.0,49869.0,1.3490082,2655.0,2
11.0,54.0,59159.0,1.1348271,625.0,2
5.0,77.0,51017.0,1.3106475,836.0,2
2.0,45.0,53533.0,1.2477492,1116.0,2
4.0,31.0,53936.0,1.2368609,2852.0,1
3.0,27.0,46587.0,1.4314283,2415.0,1
32.0,28.0,58744.0,1.1282142,945.0,4
