,,流行性感冒,,,
,地区,发病数,死亡数,发病率,死亡率
,全国,49496,15,3.8077,0.0012
,北京市,8,0,0.054,
,天津市,13,0,0.1399,
,河北省,1923,0,2.8283,
,山西省,57,0,0.172,
,内蒙古,106,0,0.4446,
,辽宁省,4,0,0.0096,
,吉林省,4,0,0.015,
,黑龙江,17,0,0.0453,
,上海市,15,0,0.1121,
,江苏省,370,0,0.4889,
,浙江省,3780,0,8.043,
,安徽省,744,0,1.1547,
,福建省,685,0,1.9051,
,江西省,1497,0,3.4948,
,山东省,157,0,0.1712,
,河南省,772,0,0.7965,
,湖北省,159,0,0.2646,
,湖南省,1010,0,1.5121,
,广东省,4973,1,6.252,0.0013
,广西,8605,0,17.7209,
,海南省,125,0,1.5352,
,重庆市,3351,0,10.7057,
,四川省,12560,11,14.4138,0.0126
,贵州省,5583,2,14.6039,0.0052
,云南省,3,0,0.0069,
,西藏,429,0,16.4267,
,陕西省,1050,0,2.8703,
,甘肃省,978,0,3.7416,
,青海省,230,1,4.2627,0.0185
,宁夏,193,0,3.3051,
,新疆,95,0,0.5106,
2018年9月10日 下午9:09,,,,,
